STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL3,TL3,HU213,Veszprém,_Z,Not applicable,HB,Hospital beds,_Z,Not applicable,_Z,Not applicable,10P3HB,Per 1 000 inhabitants,2022,,8.05,,HUN,Hungary,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL3,TL3,HU213,Veszprém,_Z,Not applicable,HB,Hospital beds,_Z,Not applicable,_Z,Not applicable,10P3HB,Per 1 000 inhabitants,2010,,8.49,,HUN,Hungary,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL3,TL3,HU213,Veszprém,_Z,Not applicable,HB,Hospital beds,_Z,Not applicable,_Z,Not applicable,10P3HB,Per 1 000 inhabitants,2011,,8.55,,HUN,Hungary,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL3,TL3,HU213,Veszprém,_Z,Not applicable,HB,Hospital beds,_Z,Not applicable,_Z,Not applicable,10P3HB,Per 1 000 inhabitants,2012,,8.24,,HUN,Hungary,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL3,TL3,HU213,Veszprém,_Z,Not applicable,HB,Hospital beds,_Z,Not applicable,_Z,Not applicable,10P3HB,Per 1 000 inhabitants,2013,,8.28,,HUN,Hungary,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL3,TL3,HU213,Veszprém,_Z,Not applicable,HB,Hospital beds,_Z,Not applicable,_Z,Not applicable,10P3HB,Per 1 000 inhabitants,2014,,8.35,,HUN,Hungary,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL3,TL3,HU213,Veszprém,_Z,Not applicable,HB,Hospital beds,_Z,Not applicable,_Z,Not applicable,10P3HB,Per 1 000 inhabitants,2015,,8.37,,HUN,Hungary,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL3,TL3,HU213,Veszprém,_Z,Not applicable,HB,Hospital beds,_Z,Not applicable,_Z,Not applicable,10P3HB,Per 1 000 inhabitants,2016,,8.52,,HUN,Hungary,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL3,TL3,HU213,Veszprém,_Z,Not applicable,HB,Hospital beds,_Z,Not applicable,_Z,Not applicable,10P3HB,Per 1 000 inhabitants,2017,,8.81,,HUN,Hungary,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL3,TL3,HU213,Veszprém,_Z,Not applicable,HB,Hospital beds,_Z,Not applicable,_Z,Not applicable,10P3HB,Per 1 000 inhabitants,2018,,8.87,,HUN,Hungary,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL3,TL3,HU213,Veszprém,_Z,Not applicable,HB,Hospital beds,_Z,Not applicable,_Z,Not applicable,10P3HB,Per 1 000 inhabitants,2019,,8.82,,HUN,Hungary,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL3,TL3,HU213,Veszprém,_Z,Not applicable,HB,Hospital beds,_Z,Not applicable,_Z,Not applicable,10P3HB,Per 1 000 inhabitants,2020,,8.51,,HUN,Hungary,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL3,TL3,ITF11,L'Aquila,_Z,Not applicable,HB,Hospital beds,_Z,Not applicable,_Z,Not applicable,10P3HB,Per 1 000 inhabitants,2011,,4,,ITA,Italy,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL3,TL3,ITF11,L'Aquila,_Z,Not applicable,HB,Hospital beds,_Z,Not applicable,_Z,Not applicable,10P3HB,Per 1 000 inhabitants,2012,,3.94,,ITA,Italy,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL3,TL3,ITF11,L'Aquila,_Z,Not applicable,HB,Hospital beds,_Z,Not applicable,_Z,Not applicable,10P3HB,Per 1 000 inhabitants,2013,,4.12,,ITA,Italy,A,Normal value,0,Units,1,One
