STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,ACTIVITY,Economic activity,PRICES,Price base,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,REF_YEAR_PRICE,Price reference year,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CURRENCY,Currency
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,US169,"Tucson, AZ",_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2019,,42071.2,,USA,United States,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,US169,"Tucson, AZ",_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2018,,41258.6,,USA,United States,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,BE233,Arr. Eeklo,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2020,,30892.7,,BEL,Belgium,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,BE233,Arr. Eeklo,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2019,,32156.4,,BEL,Belgium,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,BE256,Arr. Roeselare,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2020,,31104.8,,BEL,Belgium,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,BE256,Arr. Roeselare,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2019,,32497.1,,BEL,Belgium,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,BE310,Arr. Nivelles,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2021,,36761.2,,BEL,Belgium,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,BE310,Arr. Nivelles,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2020,,35558.4,,BEL,Belgium,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,BE310,Arr. Nivelles,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2019,,36958.4,,BEL,Belgium,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,BE32A,Arr. Ath,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2018,,29257.6,,BEL,Belgium,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,BE32A,Arr. Ath,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2017,,28990.3,,BEL,Belgium,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,BE32A,Arr. Ath,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2022,,29053,,BEL,Belgium,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,BE32A,Arr. Ath,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2021,,29636.6,,BEL,Belgium,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,BE32A,Arr. Ath,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2020,,28429.2,,BEL,Belgium,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,BE233,Arr. Eeklo,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2017,,31946.7,,BEL,Belgium,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,BE233,Arr. Eeklo,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2022,,32219,,BEL,Belgium,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,BE233,Arr. Eeklo,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2021,,32124.5,,BEL,Belgium,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,BE255,Arr. Oostende,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2017,,29191.3,,BEL,Belgium,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,BE255,Arr. Oostende,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2022,,28919.3,,BEL,Belgium,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,BE255,Arr. Oostende,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2021,,29101.1,,BEL,Belgium,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,BE255,Arr. Oostende,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2020,,27833.1,,BEL,Belgium,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,BE255,Arr. Oostende,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2019,,29312.9,,BEL,Belgium,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,BE255,Arr. Oostende,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2018,,29171.8,,BEL,Belgium,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,BE332,Arr. Liège,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2022,,24383.2,,BEL,Belgium,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,BE332,Arr. Liège,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2021,,24837.1,,BEL,Belgium,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,BE332,Arr. Liège,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2020,,23857.9,,BEL,Belgium,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,BE332,Arr. Liège,_Z,Not applicable,B5N,"Primary incomes, net",_T,Total - all activities,Q,Constant prices,USD_PPP_PS,"US dollars per person, PPP converted",2019,,24965.1,,BEL,Belgium,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
