STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,ACTIVITY,Economic activity,PRICES,Price base,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,REF_YEAR_PRICE,Price reference year,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CURRENCY,Currency
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,ES513,Lérida,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2020,,85089.8,,ESP,Spain,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,ES513,Lérida,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2021,,88282.6,,ESP,Spain,P,Provisional value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,ES513,Lérida,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2017,,93409.1,,ESP,Spain,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,ES513,Lérida,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2018,,94250.7,,ESP,Spain,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,DE217,Dachau,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2017,,96700.8,,DEU,Germany,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,DE217,Dachau,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2018,,95119.8,,DEU,Germany,E,Estimated value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,DE217,Dachau,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2019,,95991.4,,DEU,Germany,E,Estimated value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,DE217,Dachau,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2020,,92257.1,,DEU,Germany,E,Estimated value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,HR032,Lika-Senj County,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2017,,58331,,HRV,Croatia,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,HR032,Lika-Senj County,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2018,,58395.7,,HRV,Croatia,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,HR032,Lika-Senj County,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2019,,59076.9,,HRV,Croatia,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,HR032,Lika-Senj County,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2020,,57509.6,,HRV,Croatia,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,ITC48,Pavia,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2019,,103589.7,,ITA,Italy,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,ITC48,Pavia,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2020,,95802.4,,ITA,Italy,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,ITC48,Pavia,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2021,,103877.4,,ITA,Italy,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,ITC48,Pavia,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2017,,102367.9,,ITA,Italy,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,SI034,Savinja,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2019,,71550.4,,SVN,Slovenia,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,SI034,Savinja,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2020,,68720.5,,SVN,Slovenia,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,SI034,Savinja,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2021,,72707.5,,SVN,Slovenia,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,SI034,Savinja,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2022,,72075.7,,SVN,Slovenia,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
DATAFLOW,OECD.CFE.EDS:DSD_REG_ECO@DF_ECO(2.0),Economic statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,SI034,Savinja,_Z,Not applicable,LAB_PROD,Labour productivity,_T,Total - all activities,Q,Constant prices,USD_PPP_WR,"US dollars per worker, PPP converted",2017,,70204.9,,SVN,Slovenia,A,Normal value,2020,,0,Units,0,Zero,USD,US dollar
