STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_LABOUR@DF_LAB(2.0),Labour statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,ES411,Ávila,_Z,Not applicable,UNE_RATE,Unemployment rate,Y15T64,From 15 to 64 years,_T,Total,PT_LF_SUB,Percentage of labour force in the same subgroup,2020,,14.5,,ESP,Spain,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LABOUR@DF_LAB(2.0),Labour statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,ES411,Ávila,_Z,Not applicable,UNE_RATE,Unemployment rate,Y15T64,From 15 to 64 years,_T,Total,PT_LF_SUB,Percentage of labour force in the same subgroup,2022,,13.7,,ESP,Spain,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LABOUR@DF_LAB(2.0),Labour statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,ES411,Ávila,_Z,Not applicable,UNE_RATE,Unemployment rate,Y15T64,From 15 to 64 years,_T,Total,PT_LF_SUB,Percentage of labour force in the same subgroup,2010,,23.5,,ESP,Spain,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LABOUR@DF_LAB(2.0),Labour statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,ES411,Ávila,_Z,Not applicable,UNE_RATE,Unemployment rate,Y15T64,From 15 to 64 years,_T,Total,PT_LF_SUB,Percentage of labour force in the same subgroup,2011,,24.1,,ESP,Spain,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LABOUR@DF_LAB(2.0),Labour statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,ES411,Ávila,_Z,Not applicable,UNE_RATE,Unemployment rate,Y15T64,From 15 to 64 years,_T,Total,PT_LF_SUB,Percentage of labour force in the same subgroup,2012,,24.8,,ESP,Spain,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LABOUR@DF_LAB(2.0),Labour statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,ES411,Ávila,_Z,Not applicable,UNE_RATE,Unemployment rate,Y15T64,From 15 to 64 years,_T,Total,PT_LF_SUB,Percentage of labour force in the same subgroup,2013,,25.7,,ESP,Spain,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LABOUR@DF_LAB(2.0),Labour statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,ES411,Ávila,_Z,Not applicable,UNE_RATE,Unemployment rate,Y15T64,From 15 to 64 years,_T,Total,PT_LF_SUB,Percentage of labour force in the same subgroup,2014,,26.2,,ESP,Spain,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LABOUR@DF_LAB(2.0),Labour statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,ES411,Ávila,_Z,Not applicable,UNE_RATE,Unemployment rate,Y15T64,From 15 to 64 years,_T,Total,PT_LF_SUB,Percentage of labour force in the same subgroup,2015,,23.1,,ESP,Spain,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LABOUR@DF_LAB(2.0),Labour statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,ES411,Ávila,_Z,Not applicable,UNE_RATE,Unemployment rate,Y15T64,From 15 to 64 years,_T,Total,PT_LF_SUB,Percentage of labour force in the same subgroup,2016,,21.4,,ESP,Spain,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_LABOUR@DF_LAB(2.0),Labour statistics - Regions (for 'Developer API'),I,A,Annual,TL3,TL3,ES411,Ávila,_Z,Not applicable,UNE_RATE,Unemployment rate,Y15T64,From 15 to 64 years,_T,Total,PT_LF_SUB,Percentage of labour force in the same subgroup,2017,,18,,ESP,Spain,A,Normal value,0,Units,1,One
